,Unnamed: 0,ytid,start_s,end_s,aspect_list,caption,Discogs400 genre,MTG Jamendo genre,danceability,happy,sad,relaxed,mood and theme,instruments,voice gender
10,10,-5FoeegAgvU,230,240,"['brass', 'double bass', 'strings', 'instrumental', 'no voice', 'percussion']",The instrumental music features an ensemble that resembles the orchestra. The melody is being played by a brass section while strings provide harmonic accompaniment. At the end of the music excerpt one can hear a double bass playing a long note and then a percussive noise.,Stage & Screen---Soundtrack,soundtrack,not_danceable,non_happy,sad,relaxed,"['epic', 'film', 'action', 'dramatic', 'emotional']","['piano', 'violin', 'synthesizer']",female
11,11,-5f6hjZf9Yw,30,40,"['folk music', 'rubab', 'male voice', 'slow tempo', 'emotional song', 'low quality audio', 'violin', 'accordion']",This folk song features a male voice singing the main melody in an emotional mood. This is accompanied by an accordion playing fills in the background. A violin plays a droning melody. There is no percussion in this song. This song can be played at a Central Asian classical concert.,"Folk, World, & Country---Indian Classical",electronic,danceable,non_happy,non_sad,relaxed,"['film', 'melodic', 'meditative', 'relaxing', 'love']","['synthesizer', 'drums', 'electricguitar']",female
12,12,-5xOcMJpTUk,70,80,"['guitarist', 'male talking', 'twang sounds', 'mediocre audio quality', 'guitar string tones', 'guitar technique', 'fretboard sounds', 'guitar demo', 'online guitar lessons', 'home music video', 'youtube tutorial', 'bas]d audio quality', 'humming noise', 'energetic', 'passionate', 'spirited okay', 'strong voice', 'ambient room noises']","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds, clearly demonstrating the technique. The audio quality is mediocre.",Rock---Punk,rock,not_danceable,non_happy,non_sad,non_relaxed,"['energetic', 'love', 'melodic', 'happy', 'dark']","['drums', 'electricguitar', 'bass']",male
13,13,-6HBGg1cAI0,30,40,"['folk song', 'traditional song', 'middle eastern song', 'male voice', 'darbuka', 'oud instrument', 'moderate tempo', 'middle eastern instruments']",This middle eastern folk song features a male voice. This is accompanied by a string instrument called the oud playing the melody in between lines. A variety of middle-eastern percussion instruments are played in the background. A tambourine is played on every count. A darbuka plays a simple beat. This folk song can be played in a movie scene set in a Moroccan market.,Latin---Cumbia,folk,danceable,happy,non_sad,non_relaxed,"['energetic', 'happy', 'love', 'melodic', 'upbeat']","['synthesizer', 'drums', 'bass']",male
14,14,-6QGvxvaTkI,280,290,"['low quality', 'echoing male vocal', 'acoustic strings melody', 'crowd chattering', 'wooden percussions', 'plucked strings melody', 'live performance', 'traditional', 'noisy', 'passionate']","The low quality recording features a live performance of a traditional song and it consists of an echoing male vocal singing over acoustic strings melody, plucked strings melody and wooden percussion. There is a crowd chattering noise in the background. The recording is a bit noisy and it sounds passionate.",Electronic---Experimental,electronic,danceable,non_happy,non_sad,relaxed,"['melodic', 'love', 'dark', 'meditative', 'energetic']","['synthesizer', 'guitar', 'bass']",male
15,15,-6pcgdLfb_A,110,120,"['r&b', 'soul', 'male vocal', 'melodic singing', 'strings sample', 'strong bass', 'electronic drums', 'sensual', 'groovy', 'urban']",This is an R&B/soul music piece. There is a male vocalist singing melodically and in a sensual manner over multiple tracks. The melody of the beat is provided by a string sample. There is a strong bass sound in the piece. The rhythm is provided by a groovy electronic drum beat. There is an urban feel to this piece. It could be used in the soundtrack of a TV series where two characters are sharing intimate moments.,Hip Hop---Ragga HipHop,hiphop,danceable,happy,non_sad,non_relaxed,"['deep', 'energetic', 'love', 'summer', 'happy']","['bass', 'synthesizer', 'percussion']",male
16,16,-7B9tPuIP-w,450,460,"['male vocalist', 'medium fast tempo', 'monologue', 'background music', 'hit songs', 'retro', 'narrator', 'narration', 'documentary', 'animated singing', 'enthusiastic drumming', 'cymbal ride', 'electric guitar', 'groovy bass lines', 'rock and rock', 'classic rock and rock', 'muffled', 'blues', 'rock hits', 'vocalisation']","A male voice narrates a monologue to the rhythm of a song in the background. The song is fast tempo with enthusiastic drumming, groovy bass lines,cymbal ride, keyboard accompaniment ,electric guitar and animated vocals. The song plays softly  in the background as the narrator speaks and burgeons when he stops. The song is a classic Rock and Roll and the narration is a Documentary.",Rock---Beat,rock,not_danceable,happy,non_sad,non_relaxed,"['energetic', 'melodic', 'love', 'happy', 'adventure']","['drums', 'electricguitar', 'bass']",male
17,17,-7wUQP6G5EQ,30,40,"['low quality', 'noisy', 'renaissance music', 'soft wooden percussions', 'mellow harmonized flute melody', 'mellow', 'soulful', 'passionate', 'emotional', 'vintage']","The low quality recording features a renaissance music that consists of soft wooden percussion and mellow, harmonized flute melody playing on top of it. The recording is a bit noisy, but it also sounds soulful, mellow, passionate, emotional and vintage - It really puts the listener in a period of renaissance.",Classical---Renaissance,classical,not_danceable,non_happy,sad,relaxed,"['film', 'christmas', 'relaxing', 'meditative', 'drama']","['drums', 'flute', 'violin']",female
18,18,-88me9bBzrk,30,40,"['hindi', 'tablas', 'shrutibox', 'bansuri flute', 'medium tempo']",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.,"Folk, World, & Country---Hindustani",world,danceable,non_happy,non_sad,relaxed,"['melodic', 'film', 'meditative', 'christmas', 'relaxing']","['drums', 'piano', 'flute']",female
19,19,-8C-gydUbR8,30,40,"['gospel music', 'poor sound quality', 'children choir', 'medium tempo', 'black gospel music', 'distorted sound quality', 'meditative', 'devotional', 'inspiring', 'motivational', 'christian contemporary music', 'steady drumming rhythm', 'groovy bass line', 'keyboard harmony', 'retro christian songs']","A children’s choir sings this devotional melody. The song is medium tempo with a steady bass line, drumming rhythm and clapping percussion. The song is black gospel choral music played in front of a live congregation. The audio quality is very poor.",Funk / Soul---Gospel,alternative,not_danceable,happy,non_sad,non_relaxed,"['energetic', 'film', 'love', 'happy', 'melodic']","['voice', 'drums', 'electricguitar']",male
20,20,-8cgbhIR_pw,30,40,"['low quality', 'passionate muddy male vocal', 'arpeggiated acoustic guitar melody', 'noisy', 'muddy', 'cover', 'emotional', 'ballad', 'raw', 'messy']","The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.","Folk, World, & Country---Folk",pop,not_danceable,non_happy,sad,relaxed,"['meditative', 'love', 'ballad', 'relaxing', 'soft']","['guitar', 'acousticguitar', 'voice']",male
21,21,-BHPu-dPmWQ,30,40,"['intimate wide mixed vocals', 'synth lead melody', 'punchy kick', 'noisy snare', 'claps', 'groovy bass guitar', 'tinny wide hi hats', 'short snare roll', 'alternative/indie', 'electric guitar melody', 'easygoing', 'melancholic']","The Alternative/Indie song features an intimate, widely spread, mixed vocals singing over noisy snare, punchy kick, wide tinny hi hats, electric guitar melody, synth lead melody and groovy bass guitar. At the end of the loop there is a short snare roll and some claps. It sounds easygoing and melancholic thanks to those vocals.",Electronic---Synth-pop,electronic,danceable,happy,non_sad,non_relaxed,"['energetic', 'happy', 'melodic', 'dark', 'love']","['synthesizer', 'drums', 'electricguitar']",female
22,22,-BIMKnb3tlo,410,420,"['hindustani classical music', 'harmonium', 'bansuri', 'tabla', 'electronic drums', 'upbeat', 'joyful']","This is a Hindustani classical music piece. There is a harmonium playing the main tune. A bansuri joins in to play, supporting a melody every now and then. The rhythmic background consists of the tabla percussion and the electronic drums. The atmosphere of the piece is joyful.","Folk, World, & Country---Indian Classical",electronic,danceable,non_happy,non_sad,relaxed,"['energetic', 'happy', 'film', 'melodic', 'deep']","['drums', 'percussion', 'bass']",male
23,23,-Bu7YaslRW0,30,40,"['atmospheric', 'cinematic', 'calming', 'flute/string/brass sound', 'cymbals', 'synth pad drone', 'slow tempo']",A synth pad is playing a drone sound in the lower mid range. Cymbals are creating atmosphere while a flute/string/brass sound is playing a melody. The whole recording is full of reverb. This song may be playing in a forest documentary.,Electronic---Ambient,soundtrack,not_danceable,non_happy,sad,relaxed,"['relaxing', 'meditative', 'emotional', 'film', 'romantic']","['synthesizer', 'piano', 'guitar']",female
24,24,-ByoSbgzr4M,0,10,"['instrumental', 'electric guitar', 'stringed instrument', 'vibrato', 'sonic power', 'amplified guitar', 'fast tempo', 'rapid', 'vigorous', 'dexterous', 'skilled', 'practice', 'intense', 'rock', 'hard rock', 'home recording']","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous with immense control and dexterity with the instrument.",Electronic---Experimental,electronic,danceable,non_happy,non_sad,relaxed,"['melodic', 'energetic', 'dark', 'film', 'space']","['synthesizer', 'guitar', 'piano']",male
25,25,-CUp_Tmg2Y0,30,40,"['low quality', 'mono', 'noisy', 'drums solo', 'double pedal kick', 'punchy snare', 'shimmering cymbals', 'boomy toms', 'energetic', 'manic']","The low quality recording features a drum solo that consists of a double pedal kick, punchy snare, shimmering cymbals and boomy toms. It sounds energetic and manic, thanks to that kick pattern. The recording is mono and noisy.",Rock---Math Rock,rock,not_danceable,non_happy,non_sad,non_relaxed,"['energetic', 'action', 'epic', 'dark', 'melodic']","['bass', 'drums', 'electricguitar']",male
26,26,-DeAdhYKbGE,290,300,"['bagpipe ensemble', 'unison melody', 'drone', 'quick melody', 'trills', 'ornamentation']","A bagpipe ensemble playing a quick melody in unison, employing trills to ornament it.","Folk, World, & Country---Celtic",electronic,not_danceable,non_happy,non_sad,relaxed,"['meditative', 'film', 'melodic', 'relaxing', 'soundscape']","['flute', 'violin', 'acousticguitar']",male
27,27,-Dtir74TiUM,40,50,"['drum & bass', 'electronic dance music', 'hollering sample', 'scratching', 'synth', 'electronic drums', 'upbeat', 'energetic', 'eerie']",This is a drum & bass music piece. There is a constantly repeating hollering sample accompanied by rapid turntable scratching. A synth sound can be heard playing an ominous tune. The rhythmic background consists of a fast-tempo electronic drum beat. The atmosphere is energetic. This piece could be used in the soundtrack of a car racing game. It could also be playing at nightclubs during early-2000s themed parties.,Electronic---Hardcore,electronic,danceable,non_happy,non_sad,non_relaxed,"['energetic', 'dark', 'melodic', 'film', 'love']","['synthesizer', 'bass', 'drums']",male
28,28,-EVRXQpt1-8,50,60,"['oriental/ballad', 'guitar like instrumental', 'bass', 'male voice singing', 'female backing voice singing', 'sad', 'slow tempo', 'harp']","Someone is playing a guitar-like instrument in a tremolo fashion along with someone playing a melody on a harp along with a bass playing the root note. A male voice is singing, sounding sad and sensitive. A backing voice that seems to be female is singing along, providing harmonies. This song may be playing in a dance performance.","Folk, World, & Country---Folk",electronic,not_danceable,non_happy,sad,relaxed,"['film', 'relaxing', 'meditative', 'epic', 'melodic']","['synthesizer', 'piano', 'guitar']",female
29,29,-FEPOSP7ay0,260,270,"['loud bells impacts', 'metallic squeaking sound', 'low quality', 'mono', 'noisy']",The low quality recording features loud bells and metallic squeaking sounds. The recording is mono and noisy.,Electronic---Experimental,experimental,not_danceable,non_happy,non_sad,relaxed,"['meditative', 'dark', 'melodic', 'relaxing', 'film']","['synthesizer', 'drums', 'piano']",male
30,30,-FFx68qSAuY,190,200,"['punk rock', 'gothic rock', 'male vocals', 'grunt-like singing', 'electric guitar', 'bass guitar', 'acoustic guitar', 'hard-hitting', 'aggressive']",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. The rhythm consists of a slightly fast-paced rock acoustic drum beat. The piece has an aggressive atmosphere. It could be used in the soundtrack of an action-filled video game.,Rock---Punk,rock,not_danceable,happy,non_sad,non_relaxed,"['energetic', 'melodic', 'love', 'heavy', 'dark']","['electricguitar', 'drums', 'bass']",male
31,31,-FlvaZQOr2I,90,100,"['building suspense', 'cartoon show soundtrack', 'story telling', 'tense harmony', 'drumming rolls', 'poor audio quality', 'instrumental music', 'medium tempo', 'suspense', 'mystery', 'string section harmony', 'animated show', 'horns playing to a crescendo', 'poor audio quality', 'low bass thumps']","The song is an instrumental. The song is medium tempo, with a horn and string section and a drum section playing to a crescendo, followed by a low frequency thumping rhythm. The song is an instrumental soundtrack for an animated show. The audio quality is poor.",Electronic---Ambient,electronic,danceable,non_happy,non_sad,relaxed,"['happy', 'film', 'dark', 'epic', 'relaxing']","['synthesizer', 'piano', 'guitar']",female
32,32,-Gf4Ihv1zwc,50,60,"['christmas', 'festive', 'celtic', 'female vocal', 'melodic singing', 'strings', 'piano', 'harp', 'dulcimer', 'calming', 'positive']",This is a Christmas music piece with heavy influences from Celtic music. There is a female vocalist singing melodically as the lead. The melodic background is provided by the strings and the piano and at the same time Celtic instruments that resemble a harp and a dulcimer. There is a calming and positive aura to this piece. It could be playing in the background at a Christmas party. It could also be used in Christmas-themed shows or social media content.,Rock---Dream Pop,pop,not_danceable,non_happy,sad,relaxed,"['christmas', 'emotional', 'love', 'relaxing', 'romantic']","['piano', 'drums', 'violin']",female
33,33,-IZbvEO9wzU,30,40,"['jingle', 'chipmunk vocal', 'transposed instruments', 'piano', 'electronic drums', 'high pitch', 'irritating', 'poor quality', 'bizarre']",This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted in a chipmunk vocal effect. The piano playing the melody and the electronic drum beat is at an irritatingly higher pitch than normal. This creates a bizarre atmosphere. It could be used in nightmare sequences in video games or TV shows.,Electronic---Ambient,electronic,danceable,non_happy,non_sad,relaxed,"['melodic', 'dark', 'energetic', 'space', 'slow']","['synthesizer', 'piano', 'drums']",female
34,34,-JVWfFPBl84,330,340,"['low quality audio', 'tibetan singing bowl', 'animal sounds', 'no other instruments', 'no voices', 'instrumental', 'meditation music']","This audio clip features the sound produced at a particular frequency by a Tibetan singing bowl. This produces a continuous ringing sound. Toward the end of the clip, some other animal sounds can be heard. There are no other instruments in this song. This song can be played at a meditation center.",Electronic---Experimental,ambient,not_danceable,non_happy,sad,relaxed,"['meditative', 'dark', 'relaxing', 'soundscape', 'film']","['synthesizer', 'electricguitar', 'piano']",male
35,35,-JvB5AL59fM,30,40,"['rock', 'e-guitars', 'e-bass', 'acoustic drums', 'keys', 'female voice singing', 'male backing voice', 'uptempo']",An acoustic drum is playing a simple rock groove with some drum fills on the toms and snare along with a distorted e-bass and e-guitar playing the same line. Panned to the right side of the speaker you can hear a piano sound playing a little melody. A female voice is singing a happy sounding melody while male backing voices are supporting her. This song may be playing sitting in your room enjoying being at home alone.,Rock---Punk,rock,danceable,happy,non_sad,non_relaxed,"['energetic', 'melodic', 'love', 'happy', 'uplifting']","['bass', 'drums', 'electricguitar']",male
36,36,-M-6VinyMiY,30,40,"['low quality', 'rock', 'flat male vocal', 'groovy bass guitar', 'sustained electric guitar melody', 'arpeggiated electric guitar melody', 'snappy rimshot', 'soft kick', 'shimmering hi hats', 'easygoing', 'emotional']","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, shimmering hi hats and groovy bass guitar. It sounds emotional and easygoing.",Rock---Pop Rock,pop,not_danceable,non_happy,sad,non_relaxed,"['love', 'melodic', 'ballad', 'relaxing', 'meditative']","['synthesizer', 'electricguitar', 'guitar']",male
37,37,-M6K3QoHh40,30,40,"['low quality', 'r&b', 'boomy', 'passionate male vocal', 'claps', 'shimmering hi hats', 'groovy bass', 'noisy', 'passionate', 'speaker', 'reverberant', '4 on the floor kick']","The low quality recording features a R&B song playing on a speaker, judging by the reverberant and boomy sound of it. The song consists of passionate male vocal singing over shimmering hi hats, claps, groovy bass and ""4 on the floor"" kick pattern, It sounds passionate, like something you would dance to with your partner.",Hip Hop---DJ Battle Tool,electronic,danceable,non_happy,non_sad,relaxed,"['melodic', 'love', 'relaxing', 'happy', 'dream']","['keyboard', 'synthesizer', 'bass']",male
38,38,-NmjCyqIavI,30,40,"['amateur recording', 'beatboxing', 'female voice', 'funny', 'comedic']",This is an amateur recording of a female voice beatboxing. It is a funny recording. It could be playing in the background of comedic social media content.,Non-Music---Field Recording,electronic,danceable,non_happy,non_sad,non_relaxed,"['melodic', 'happy', 'energetic', 'love', 'dark']","['synthesizer', 'drums', 'bass']",male
39,39,-O9mnfC61Ac,0,10,"['country music', 'fiddle', 'acoustic guitar', 'electric guitar', 'gentle playing', 'slow tempo', 'easygoing', 'sentimental', 'longing']","This is a country music piece. There is a fiddle playing the main melody. The acoustic guitar and the electric guitar are playing gently in the background. The song has a slow tempo. The atmosphere is sentimental. This piece can be used in the soundtrack of an American drama movie, especially during the scenes where the feeling of longing is emphasized.",Rock---Alternative Rock,pop,not_danceable,non_happy,sad,relaxed,"['love', 'ballad', 'meditative', 'relaxing', 'emotional']","['acousticguitar', 'guitar', 'drums']",female
40,40,-OAyRsvFGgc,30,40,"['low quality', 'noisy', 'cover', 'rock', 'electric guitar solo melody', 'playback instrumental', 'punchy snare', 'punchy kick', 'smooth bass', 'soft cymbals', 'passionate', 'muffled']","The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.",Rock---Hard Rock,rock,not_danceable,non_happy,sad,relaxed,"['melodic', 'energetic', 'love', 'dark', 'relaxing']","['electricguitar', 'bass', 'drums']",male
41,41,-OUIEnuNd1I,30,40,"['classical', 'baroque', 'canon', 'single instrument', 'instrumental', 'harp', 'catchy', 'iconic', 'calming', 'hopeful', 'positive', 'wedding music']",This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a positive aura. This piece could suit well as wedding music. It could be used in the soundtrack of a documentary. It could also be playing in the background of a classy restaurant or a museum.,"Folk, World, & Country---Folk",folk,not_danceable,non_happy,sad,relaxed,"['meditative', 'christmas', 'relaxing', 'soft', 'film']","['harp', 'flute', 'guitar']",female
42,42,-Q9MTRXS4bE,30,40,"['instrumental', 'fast tempo', 'happy', 'perky', 'punchy', 'background sounds super imposed by music', 'digital pads', 'lively', 'synthesised violins', 'upbeat', 'synthesiser arrangements', 'lively piano harmony', 'punchy digital drum rhythm', 'sound of beeping', 'funky bass line', 'tapping']","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. The music is superimposed over sounds of tapping and rhythmic beeping. The music is happy, perky, upbeat, enthusiastic, lively and spirited.",Electronic---Minimal Techno,electronic,danceable,non_happy,non_sad,relaxed,"['deep', 'happy', 'summer', 'corporate', 'motivational']","['bass', 'synthesizer', 'drums']",female
43,43,-QuWdnmn-kM,30,40,"['sustained piano synth', 'lullaby', 'bright xylophone', 'mellow mellody', 'bass guitar', 'dreamy', 'kids music', 'slow tempo', 'nostalgic', 'cello', 'no vocals', 'sleepy']",This is a lullaby that features a main melody made with a xylophone that has a bright sound. A sustained piano synth creates a dreamy and sleepy ambience sound. A subtle cello plays single chords that bounce from one beat to the next. This is a song a baby could fall asleep to.,Electronic---Ambient,ambient,danceable,non_happy,sad,relaxed,"['relaxing', 'meditative', 'emotional', 'film', 'christmas']","['synthesizer', 'harp', 'piano']",female
44,44,-R0267o4lLk,60,70,"['latin percussion', 'complex rhythms', 'medium to uptempo']",You can hear two people playing various percussive instruments. One is holding the same beat playing on congas while the other is playing a solo changing rhythms and percussive sounds in a complex manner. This song may be playing live demonstrating a solo run.,Jazz---Afro-Cuban Jazz,jazz,not_danceable,non_happy,non_sad,relaxed,"['energetic', 'melodic', 'cool', 'happy', 'relaxing']","['drums', 'bass', 'percussion']",female
45,45,-RYtUAsNhF0,30,40,"['poor quality', 'no singer', 'instrumental', 'piano', 'strings', 'acoustic guitar', 'gentle', 'mellow', 'optimistic']","This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making.",Electronic---Ambient,ambient,not_danceable,non_happy,sad,relaxed,"['relaxing', 'meditative', 'soundscape', 'space', 'film']","['synthesizer', 'piano', 'electricguitar']",female
46,46,-SD43H5B5hE,520,530,"['soundeffects', 'cinematic', 'amateur recording']",There is a low sound that reminds of a heartbeat rising in tempo before a splash-like metallic sound with reverb comes in and breaks the atmosphere in half. This audio may be used for a movie scene. This audio is in poor quality.,Electronic---Experimental,electronic,danceable,non_happy,non_sad,relaxed,"['deep', 'film', 'dark', 'melodic', 'love']","['bass', 'synthesizer', 'drums']",female
47,47,-SWaCArvQug,21,31,"['ambient room noise', 'instrumental', 'male singer', 'beep tones', 'wind noise', 'doorsteps', 'noise', 'non musical tones', 'home improvement video', 'unimpressive sounds', 'drawer closing', 'home video', 'passionate singing', 'medium tempo']",Ambient sound still in the room with a mild background music playing.  A male singer sings a passionate melody with subtle background music. The audio quality is very poor with drawer sliding sound and general noise.,Electronic---Noise,electronic,not_danceable,non_happy,non_sad,relaxed,"['film', 'dark', 'energetic', 'action', 'epic']","['synthesizer', 'electricguitar', 'guitar']",male
48,48,-T4GeTHKtJQ,30,40,"['low quality', 'rock', 'punchy kick', 'punchy kick', 'wide electric guitar melodies', 'distorted bass guitar', 'energetic crash cymbal', 'shimmering hi hats', 'harmonizing male vocals', 'energetic', 'compilation']","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats and harmonizing male vocals singing over it. It sounds energetic.",Rock---Hard Rock,rock,not_danceable,happy,non_sad,non_relaxed,"['melodic', 'love', 'energetic', 'christmas', 'ballad']","['synthesizer', 'guitar', 'electricguitar']",male
49,49,-U16iKiXGuY,30,40,"['low quality', 'mellow piano melody', 'noisy', 'lip smack noise', 'r&b', 'emotional female vocal', 'live performance']","The low quality recording features a live performance of a R&B song that consists of a mellow piano melody and an emotional female vocal singing over it. There are some noises in the recording, alongside lip smack noise.","Folk, World, & Country---Folk",pop,not_danceable,non_happy,sad,relaxed,"['christmas', 'meditative', 'love', 'relaxing', 'ballad']","['guitar', 'voice', 'acousticguitar']",female
50,50,-Umconw-CRE,30,40,"['low quality', 'noisy', 'muffled', 'electric guitar solo melody', 'cover', 'rock instrumental playback', 'passionate', 'emotional']","The low quality recording features a cover of a rock song with a rock instrumental playback playing in the background and electric guitar solo melody playing on top of it. It sounds muffled and noisy, as it was probably recorded with a low quality microphone, but it is still passionate and emotional.",Rock---Classic Rock,rock,not_danceable,non_happy,sad,relaxed,"['love', 'melodic', 'energetic', 'ballad', 'happy']","['guitar', 'electricguitar', 'drums']",male
