ytid,start_s,end_s,aspect_list,caption
-7wUQP6G5EQ,30,40,"['low quality', 'noisy', 'renaissance music', 'soft wooden percussions', 'mellow harmonized flute melody', 'mellow', 'soulful', 'passionate', 'emotional', 'vintage']","The low quality recording features a renaissance music that consists of soft wooden percussion and mellow, harmonized flute melody playing on top of it. The recording is a bit noisy, but it also sounds soulful, mellow, passionate, emotional and vintage - It really puts the listener in a period of renaissance."
-88me9bBzrk,30,40,"['hindi', 'tablas', 'shrutibox', 'bansuri flute', 'medium tempo']",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.
-8C-gydUbR8,30,40,"['gospel music', 'poor sound quality', 'children choir', 'medium tempo', 'black gospel music', 'distorted sound quality', 'meditative', 'devotional', 'inspiring', 'motivational', 'christian contemporary music', 'steady drumming rhythm', 'groovy bass line', 'keyboard harmony', 'retro christian songs']","A children’s choir sings this devotional melody. The song is medium tempo with a steady bass line, drumming rhythm and clapping percussion. The song is black gospel choral music played in front of a live congregation. The audio quality is very poor."
-8cgbhIR_pw,30,40,"['low quality', 'passionate muddy male vocal', 'arpeggiated acoustic guitar melody', 'noisy', 'muddy', 'cover', 'emotional', 'ballad', 'raw', 'messy']","The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw."
-BHPu-dPmWQ,30,40,"['intimate wide mixed vocals', 'synth lead melody', 'punchy kick', 'noisy snare', 'claps', 'groovy bass guitar', 'tinny wide hi hats', 'short snare roll', 'alternative/indie', 'electric guitar melody', 'easygoing', 'melancholic']","The Alternative/Indie song features an intimate, widely spread, mixed vocals singing over noisy snare, punchy kick, wide tinny hi hats, electric guitar melody, synth lead melody and groovy bass guitar. At the end of the loop there is a short snare roll and some claps. It sounds easygoing and melancholic thanks to those vocals."
-BIMKnb3tlo,410,420,"['hindustani classical music', 'harmonium', 'bansuri', 'tabla', 'electronic drums', 'upbeat', 'joyful']","This is a Hindustani classical music piece. There is a harmonium playing the main tune. A bansuri joins in to play, supporting a melody every now and then. The rhythmic background consists of the tabla percussion and the electronic drums. The atmosphere of the piece is joyful."
-Bu7YaslRW0,30,40,"['atmospheric', 'cinematic', 'calming', 'flute/string/brass sound', 'cymbals', 'synth pad drone', 'slow tempo']",A synth pad is playing a drone sound in the lower mid range. Cymbals are creating atmosphere while a flute/string/brass sound is playing a melody. The whole recording is full of reverb. This song may be playing in a forest documentary.
-ByoSbgzr4M,0,10,"['instrumental', 'electric guitar', 'stringed instrument', 'vibrato', 'sonic power', 'amplified guitar', 'fast tempo', 'rapid', 'vigorous', 'dexterous', 'skilled', 'practice', 'intense', 'rock', 'hard rock', 'home recording']","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous with immense control and dexterity with the instrument."
-CUp_Tmg2Y0,30,40,"['low quality', 'mono', 'noisy', 'drums solo', 'double pedal kick', 'punchy snare', 'shimmering cymbals', 'boomy toms', 'energetic', 'manic']","The low quality recording features a drum solo that consists of a double pedal kick, punchy snare, shimmering cymbals and boomy toms. It sounds energetic and manic, thanks to that kick pattern. The recording is mono and noisy."
-DeAdhYKbGE,290,300,"['bagpipe ensemble', 'unison melody', 'drone', 'quick melody', 'trills', 'ornamentation']","A bagpipe ensemble playing a quick melody in unison, employing trills to ornament it."
-Dtir74TiUM,40,50,"['drum & bass', 'electronic dance music', 'hollering sample', 'scratching', 'synth', 'electronic drums', 'upbeat', 'energetic', 'eerie']",This is a drum & bass music piece. There is a constantly repeating hollering sample accompanied by rapid turntable scratching. A synth sound can be heard playing an ominous tune. The rhythmic background consists of a fast-tempo electronic drum beat. The atmosphere is energetic. This piece could be used in the soundtrack of a car racing game. It could also be playing at nightclubs during early-2000s themed parties.
-EVRXQpt1-8,50,60,"['oriental/ballad', 'guitar like instrumental', 'bass', 'male voice singing', 'female backing voice singing', 'sad', 'slow tempo', 'harp']","Someone is playing a guitar-like instrument in a tremolo fashion along with someone playing a melody on a harp along with a bass playing the root note. A male voice is singing, sounding sad and sensitive. A backing voice that seems to be female is singing along, providing harmonies. This song may be playing in a dance performance."
-FEPOSP7ay0,260,270,"['loud bells impacts', 'metallic squeaking sound', 'low quality', 'mono', 'noisy']",The low quality recording features loud bells and metallic squeaking sounds. The recording is mono and noisy.
-FFx68qSAuY,190,200,"['punk rock', 'gothic rock', 'male vocals', 'grunt-like singing', 'electric guitar', 'bass guitar', 'acoustic guitar', 'hard-hitting', 'aggressive']",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. The rhythm consists of a slightly fast-paced rock acoustic drum beat. The piece has an aggressive atmosphere. It could be used in the soundtrack of an action-filled video game.
-FlvaZQOr2I,90,100,"['building suspense', 'cartoon show soundtrack', 'story telling', 'tense harmony', 'drumming rolls', 'poor audio quality', 'instrumental music', 'medium tempo', 'suspense', 'mystery', 'string section harmony', 'animated show', 'horns playing to a crescendo', 'poor audio quality', 'low bass thumps']","The song is an instrumental. The song is medium tempo, with a horn and string section and a drum section playing to a crescendo, followed by a low frequency thumping rhythm. The song is an instrumental soundtrack for an animated show. The audio quality is poor."
-Gf4Ihv1zwc,50,60,"['christmas', 'festive', 'celtic', 'female vocal', 'melodic singing', 'strings', 'piano', 'harp', 'dulcimer', 'calming', 'positive']",This is a Christmas music piece with heavy influences from Celtic music. There is a female vocalist singing melodically as the lead. The melodic background is provided by the strings and the piano and at the same time Celtic instruments that resemble a harp and a dulcimer. There is a calming and positive aura to this piece. It could be playing in the background at a Christmas party. It could also be used in Christmas-themed shows or social media content.
-IZbvEO9wzU,30,40,"['jingle', 'chipmunk vocal', 'transposed instruments', 'piano', 'electronic drums', 'high pitch', 'irritating', 'poor quality', 'bizarre']",This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted in a chipmunk vocal effect. The piano playing the melody and the electronic drum beat is at an irritatingly higher pitch than normal. This creates a bizarre atmosphere. It could be used in nightmare sequences in video games or TV shows.
-JVWfFPBl84,330,340,"['low quality audio', 'tibetan singing bowl', 'animal sounds', 'no other instruments', 'no voices', 'instrumental', 'meditation music']","This audio clip features the sound produced at a particular frequency by a Tibetan singing bowl. This produces a continuous ringing sound. Toward the end of the clip, some other animal sounds can be heard. There are no other instruments in this song. This song can be played at a meditation center."
-JvB5AL59fM,30,40,"['rock', 'e-guitars', 'e-bass', 'acoustic drums', 'keys', 'female voice singing', 'male backing voice', 'uptempo']",An acoustic drum is playing a simple rock groove with some drum fills on the toms and snare along with a distorted e-bass and e-guitar playing the same line. Panned to the right side of the speaker you can hear a piano sound playing a little melody. A female voice is singing a happy sounding melody while male backing voices are supporting her. This song may be playing sitting in your room enjoying being at home alone.
-M-6VinyMiY,30,40,"['low quality', 'rock', 'flat male vocal', 'groovy bass guitar', 'sustained electric guitar melody', 'arpeggiated electric guitar melody', 'snappy rimshot', 'soft kick', 'shimmering hi hats', 'easygoing', 'emotional']","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, shimmering hi hats and groovy bass guitar. It sounds emotional and easygoing."
-M6K3QoHh40,30,40,"['low quality', 'r&b', 'boomy', 'passionate male vocal', 'claps', 'shimmering hi hats', 'groovy bass', 'noisy', 'passionate', 'speaker', 'reverberant', '4 on the floor kick']","The low quality recording features a R&B song playing on a speaker, judging by the reverberant and boomy sound of it. The song consists of passionate male vocal singing over shimmering hi hats, claps, groovy bass and ""4 on the floor"" kick pattern, It sounds passionate, like something you would dance to with your partner."
-NmjCyqIavI,30,40,"['amateur recording', 'beatboxing', 'female voice', 'funny', 'comedic']",This is an amateur recording of a female voice beatboxing. It is a funny recording. It could be playing in the background of comedic social media content.
-O9mnfC61Ac,0,10,"['country music', 'fiddle', 'acoustic guitar', 'electric guitar', 'gentle playing', 'slow tempo', 'easygoing', 'sentimental', 'longing']","This is a country music piece. There is a fiddle playing the main melody. The acoustic guitar and the electric guitar are playing gently in the background. The song has a slow tempo. The atmosphere is sentimental. This piece can be used in the soundtrack of an American drama movie, especially during the scenes where the feeling of longing is emphasized."
-OAyRsvFGgc,30,40,"['low quality', 'noisy', 'cover', 'rock', 'electric guitar solo melody', 'playback instrumental', 'punchy snare', 'punchy kick', 'smooth bass', 'soft cymbals', 'passionate', 'muffled']","The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone."
-OUIEnuNd1I,30,40,"['classical', 'baroque', 'canon', 'single instrument', 'instrumental', 'harp', 'catchy', 'iconic', 'calming', 'hopeful', 'positive', 'wedding music']",This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a positive aura. This piece could suit well as wedding music. It could be used in the soundtrack of a documentary. It could also be playing in the background of a classy restaurant or a museum.
-Q9MTRXS4bE,30,40,"['instrumental', 'fast tempo', 'happy', 'perky', 'punchy', 'background sounds super imposed by music', 'digital pads', 'lively', 'synthesised violins', 'upbeat', 'synthesiser arrangements', 'lively piano harmony', 'punchy digital drum rhythm', 'sound of beeping', 'funky bass line', 'tapping']","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. The music is superimposed over sounds of tapping and rhythmic beeping. The music is happy, perky, upbeat, enthusiastic, lively and spirited."
-QuWdnmn-kM,30,40,"['sustained piano synth', 'lullaby', 'bright xylophone', 'mellow mellody', 'bass guitar', 'dreamy', 'kids music', 'slow tempo', 'nostalgic', 'cello', 'no vocals', 'sleepy']",This is a lullaby that features a main melody made with a xylophone that has a bright sound. A sustained piano synth creates a dreamy and sleepy ambience sound. A subtle cello plays single chords that bounce from one beat to the next. This is a song a baby could fall asleep to.
-R0267o4lLk,60,70,"['latin percussion', 'complex rhythms', 'medium to uptempo']",You can hear two people playing various percussive instruments. One is holding the same beat playing on congas while the other is playing a solo changing rhythms and percussive sounds in a complex manner. This song may be playing live demonstrating a solo run.
-RYtUAsNhF0,30,40,"['poor quality', 'no singer', 'instrumental', 'piano', 'strings', 'acoustic guitar', 'gentle', 'mellow', 'optimistic']","This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making."
-SD43H5B5hE,520,530,"['soundeffects', 'cinematic', 'amateur recording']",There is a low sound that reminds of a heartbeat rising in tempo before a splash-like metallic sound with reverb comes in and breaks the atmosphere in half. This audio may be used for a movie scene. This audio is in poor quality.
-SWaCArvQug,21,31,"['ambient room noise', 'instrumental', 'male singer', 'beep tones', 'wind noise', 'doorsteps', 'noise', 'non musical tones', 'home improvement video', 'unimpressive sounds', 'drawer closing', 'home video', 'passionate singing', 'medium tempo']",Ambient sound still in the room with a mild background music playing.  A male singer sings a passionate melody with subtle background music. The audio quality is very poor with drawer sliding sound and general noise.
-T4GeTHKtJQ,30,40,"['low quality', 'rock', 'punchy kick', 'punchy kick', 'wide electric guitar melodies', 'distorted bass guitar', 'energetic crash cymbal', 'shimmering hi hats', 'harmonizing male vocals', 'energetic', 'compilation']","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats and harmonizing male vocals singing over it. It sounds energetic."
-U16iKiXGuY,30,40,"['low quality', 'mellow piano melody', 'noisy', 'lip smack noise', 'r&b', 'emotional female vocal', 'live performance']","The low quality recording features a live performance of a R&B song that consists of a mellow piano melody and an emotional female vocal singing over it. There are some noises in the recording, alongside lip smack noise."
-Umconw-CRE,30,40,"['low quality', 'noisy', 'muffled', 'electric guitar solo melody', 'cover', 'rock instrumental playback', 'passionate', 'emotional']","The low quality recording features a cover of a rock song with a rock instrumental playback playing in the background and electric guitar solo melody playing on top of it. It sounds muffled and noisy, as it was probably recorded with a low quality microphone, but it is still passionate and emotional."
-UuEBhule84,350,360,"['low quality', 'noisy', 'mono', 'acoustic rhythm guitar', 'flat male vocal', 'passionate', 'country']","The low quality recording features a flat male vocal singing over acoustic rhythm guitar chords, after which that same vocal is talking. The song sounds passionate, while the recording, overall, is noisy and in mono."
-VI2IRq17rs,360,370,"['bell', 'faint speaking', 'male voice', 'resonance', 'live recording']","In this clip, a large bell is rung and left to ring. We can hear the resonance in the room as the bell rings. There is then the faint sound of a male speaking in the background. It's a live recording."
-VclCul6FrI,80,90,"['low quality', 'noisy', 'mono', 'organ keys melody', 'muffled', 'distorted', 'jazzy']","The low quality recording features a jazzy organ keys melody. The recording is in mono, noisy, muffled and slightly distorted."
-Vo4CAMX26U,30,40,"['low quality', 'low windpipe vocal sounds', 'nature atmosphere sound effect', 'birds chirping', 'water flowing sound effect', 'harsh', 'loud']","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, as the tone of the windpipe is constantly changing."
-W5c6CeUMPE,40,50,"['swiss folk music', 'yodeling', 'male vocal', 'female vocal', 'duet', 'melodeon', 'pastoral']",This is a Swiss folk music piece. There is a male vocal and there is a female vocal. They are yodeling as a duet. The melody in the background is being played by a melodeon. There is a pastoral feel to it. This piece could be used in the soundtrack of a movie that takes place in the Alps region.
-WvVG0wHcTc,310,320,"['classical', 'sustained violin melody', 'crowd clapping', 'shimmering hi hats', 'theremin solo', 'subtle female vocal', 'live performance', 'electric guitar melody', 'low quality', 'noisy', 'mono', 'passionate', 'emotional']","The low quality recording features a classical live performance of sustained violin melody, shimmering hi hats, electric guitar melody, theremin solo melody and subtle female vocals at the end of the loop. There are some crowd clapping sounds in the background. It is noisy, in mono and it sounds passionate and emotional."
-XN0NtrnfMY,30,40,"['low quality', 'rock', 'instrumental', 'shimmering hi hats', 'punchy snare', 'groovy bass', 'acoustic rhythm guitar', 'electric guitar chord progression', 'energetic', 'addictive']","The low quality recording features a rock song instrumental that consists of shimmering hi hats, punchy snare, groovy bass guitar, acoustic rhythm guitar in the left channel and electric guitar chord progression in the right channel of the stereo image. It sounds energetic and addictive."
-XkbErI_7EU,50,60,"['slow jazz song', 'barbershop quartet', 'trumpets', 'double bass', 'vocal harmony', 'male voices', 'piano', 'slow tempo', 'romantic song']",This slow jazz song features male voices singing the main melody in harmony. This is accompanied by percussion playing a simple beat. The double bass plays the root notes of the chords. Trumpets play a fill in harmony in between lines. A piano plays an arpeggiated chord at the end of the first line. This song has a romantic mood. This song can be played in a classic romantic movie.
-YATTKBtmRA,190,200,"['hip-hop', 'electronic', 'crisp synth', 'melodic pad', 'piano sample', 'strong bass', 'loud electronic drums', 'modern sounding', 'aggressive', 'energetic']",This is a hip-hop music piece. There is a crisp synth sound playing the melody. The piece has a strong bass sound. There is a melodic pad with beat repeat effect that uses a piano sample. The rhythmic background is provided by a loud electronic drum beat. The piece is energetic and modern sounding. It could be used in the soundtrack of a sci-fi movie where there is a lot of action going on.
-YIT4HBM__g,30,40,"['female singer', 'high notes', 'choral harmony', 'ethereal', 'vocal vibrations', 'ethereal', 'soprano', 'alto', 'whirring sound', 'seconds', 'melodic', 'angelic', 'celestial', 'no instruments', 'sound of chatter', 'rustling', 'scuffling', 'harmonious', 'amateur recording', 'mediocre sound recording', 'inferior audio quality', 'quality of']","A female vocalist sings this mellifluous song.The tempo is slow with the vocalist singing a soprano, with alto choral harmony. There are sounds of rustling, whirring,scuttling and people talking in the background. The vocals are beautiful, mellifluous,and ethereal."
-ZHpNr_KRXU,30,40,"['folkmusic', 'amateur recording', 'accordion', 'percussion', 'male voice singing', 'higher register', 'medium to uptempo']",Someone is playing a percussive instrument that reminds a little bit of a tabla while someone else is playing a fast melody on an accordion. A male voice is singing at a higher pitch. This song may be playing live.
-_6RxZyi30Q,70,80,"['latin dance music', 'zumba', 'amateur recording', 'poor quality', 'female voice', 'shouting', 'male vocal', 'melodic singing', 'strong bass', 'loud electronic drums', 'energetic']",This is an amateur recording of a dance performance over a latin dance music piece in the style of zumba. There is a female dance instructor shouting directions to the dancers. There is a male vocalist singing melodically in the background piece. A strong bass and a loud electronic drum beat can be heard very distinctly. The atmosphere is energetic. The quality of the recording is quite poor.
-_OzT7Xyvok,30,40,"['amateur recording', 'two acoustic guitars', 'flamenco', 'nylon string guitar', 'technically challenging', 'sloppy']",Amateur recording of two nylon string guitars playing in flamenco style. The playing is technically challenging yet sloppy.
-bgHkxwoliw,30,40,"['pop', 'digital drums', 'e-guitar', 'keyboard melodies', 'male voice singing', 'higher register', 'bass', 'uptempo', 'positive atmosphere']",Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chords and a e-guitar playing a simple melody along. A male voice is singing in a higher key. This song may be playing at a folkfest.
-cLzki-B06o,30,40,"['arabesque', 'kurdish folk music', 'baglama', 'zurna', 'electronic drums', 'percussion', 'upbeat', 'lively', 'folk dance', 'halay']",This is a Kurdish folk music piece. The main melody is first played by the baglama and then by the zurna. The rhythmic background consists of an electronic drum beat and supportive percussive elements. The atmosphere is lively. This piece could be used as an accompaniment piece for a folk dance course such as the halay dance.
-dVgUSrR8g4,30,40,"['intense', 'vigorous', 'loud electric guitar feedback', 'intense', 'psychedelic', 'trap', 'trance', 'hard rock', 'enthusiastic', 'energetic', 'spirited', 'hyper', 'fast tempo', 'goth rock', 'heavy  metal', 'amplified guitar', 'intense drumming', 'chattering sounds', 'scratching', 'screeching', 'vigorous keyboard']","This song is a vigorous metal instrumental. The tempo is fast with intense drumming,  fiery electric guitar riff, amplified guitar rhythms and energetic keyboard accompaniment. The music is energetic, aggressive, youthful, spirited, goth, intense,psychedelic and trance like. This instrumental is Hard Rock/Metal."
-e4wXAy1iVo,0,10,"['pop', 'ukulele', 'female voices singing', 'harmony', 'amateur recording', 'medium to uptempo']",Two female voices are singing in harmony to a ukulele strumming chords. One of the voices is deeper and the other one higher. This song may be jamming together at home.
-eDAoheZrY8,30,40,"['movie soundtrack', 'philharmonic orchestra', 'crescendo', 'booming lower harmony', 'average audio quality', 'tense', 'sci-fi music', 'string section harmony', 'suspenseful music', 'horn section', 'drums playing slowly', 'instrumental music', 'mysterious', 'science fiction', 'exploring dangerous territory', 'tuba', 'building tension']","The song is an instrumental. The song is slow tempo with building crescendo , string section harmony, horn section, drums playing steadily and piano accompaniment. The song is suspenseful and builds anticipation. The song is a movie soundtrack and has an average audio quality."
-f1DNyngKVY,30,40,"['sitar', 'no singer', 'instrumental', 'single instrument', 'medium-to-high range', 'transcendental', 'relaxing', 'calming', 'meditation']",This is an instrumental sitar music piece. The sitar is being played at a medium-to-high range. There is a calming and relaxing atmosphere to this piece. This piece can be used in the background of a meditation video. It could also be played during a meditation session at a course.
-f6s6kQEHFY,0,10,"['slow pop', 'ethereal song', 'ambient sounds', 'no lyrics', 'female voice', 'autotune voice', 'piano song', 'synth sounds', 'slow tempo', 'bass', 'no percussion', 'haunting melody']",This slow ballad features a female voice singing the main melody. This is accompanied by a repetitive piano melody. The bass plays the root notes of the chords in staccato style in eighth note patterns. Synth horns play in the background at different pitches. The song has an ambient and ethereal feel. The mood of the song is haunting. This song can be played in a sad scene in a movie.
-fxh7jAJR8U,70,80,"['boy band', 'male singers', 'vocal harmony', 'retro pop hits', 'singing parts', 'medium tempo', 'keyboard accompaniment', 'steady drumming rhythm', 'steady bass line', 'tambourine percussions', 'love song', 'romantic', 'passionate', 'groovy music', 'inspiring', 'passionate', 'spirited', 'soothing', 'relaxing', 'comforting', 'bells percussions']","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. The song is soothing and romantic. The song is a retro pop hit."
-hSMzrWZCAE,30,40,"['male voice', 'electric guitar', 'distortion effect', 'drums', 'synth bass', 'pop rock genre']",The pop rock music features a male voice singing. An electric guitar with a distortion effect on plays plays two chords every two measures. The drums play a strong rhythm and together with a synth bass drive the pulse of the music.
-hYRFCQdbLg,30,40,"['upbeat instrumental', 'loud marimba melody', 'noisy', 'low quality']","The Low quality recording features an upbeat instrumental playing in the background on some kind of speaker, while a loud marimba melody is played over it. It kind of sounds off beat, also the sound is mostly located in the left channel of the stereo image, which makes the recording imbalanced and low in quality."
-i9gpG3vPwA,30,40,"['instrumental', 'two tracks', 'electronic music', 'harmonic', 'futuristic', 'engaging', 'captivating', 'dance groove', 'electro pop', 'unrelated tracks', 'synthesiser articulation', 'funky drumming', 'enthusiastic digital drum rhythm', 'keyboard harmony', 'dance pop', 'edm', 'pleasant', 'ambient', 'amplified paino', 'surround sound']","This audio clip is an electronic instrumental of two different tracks with medium fast tempo. The first tempo has an amplified piano playing an emphatic harmony along with digital drums. The second track has emphatic digital drums and electronic /synthesised music arrangement. Both the tracks are melodious, pleasant, harmonic, futuristic, captivating and engaging with a dance groove."
